replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
3,apache-complete,hosp-73,0.05,5125,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Midwest,1.0,1.0
3,apache-complete,hosp-73,0.1,5125,bbse:failsafe,True,0.83,0.8878,4550,0.031,False,>= 500,t,Midwest,1.0,1.0
3,apache-complete,hosp-94,0.05,7,pool-too-small,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-94,0.1,7,pool-too-small,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-141,0.05,1263,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,1.0,1.0
3,apache-complete,hosp-141,0.1,1263,bbse:failsafe,True,0.83,0.8646,1092,0.0311,False,250 - 499,f,South,1.0,1.0
3,apache-complete,hosp-143,0.05,640,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,,1.0,1.0
3,apache-complete,hosp-143,0.1,640,bbse:failsafe,True,0.83,0.8984,575,0.033,False,250 - 499,f,,1.0,1.0
3,apache-complete,hosp-156,0.05,13,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-156,0.1,13,bbse:bbse-misspecified,True,0.83,1.0,13,0.0,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-184,0.05,741,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,1.0,1.0
3,apache-complete,hosp-184,0.1,741,bbse:failsafe,True,0.83,0.8016,594,0.0539,False,250 - 499,f,South,1.0,1.0
3,apache-complete,hosp-188,0.05,2913,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,South,1.0,1.0
3,apache-complete,hosp-188,0.1,2913,bbse:failsafe,True,0.83,0.8459,2464,0.0426,False,>= 500,t,South,1.0,1.0
3,apache-complete,hosp-208,0.05,2549,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,South,1.0,1.0
3,apache-complete,hosp-208,0.1,2549,bbse:failsafe,True,0.83,0.896,2284,0.0683,False,>= 500,f,South,1.0,1.0
3,apache-complete,hosp-209,0.05,99,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,1.0,1.0
