draw,alpha,mode,target_base,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,decline_reason,deploy_mode,bbse_reason,bbse_rho_lo,bbse_rho_hi,bbse_gap_lo,bbse_q_target
38,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
38,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5346167057085338,3.0223340179154583,0.511070397645001,0.09179170344218888
38,0.1,baseline,0.22,True,0.55,0.9823477493380406,1113,0.07637017070979335,False,False,0.102606,True,,baseline,,,,,
38,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5346167057085338,3.0223340179154583,0.511070397645001,0.09179170344218888
39,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
39,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.6836451134954808,6.770653088089511,0.49765673170730274,0.1579778830963665
39,0.1,baseline,0.22,True,0.55,0.9652448657187994,611,0.19148936170212766,True,True,0.112848,True,,baseline,,,,,
39,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.6836451134954808,6.770653088089511,0.49765673170730274,0.1579778830963665
40,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
40,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.3276142122764667,27.055267959875795,0.5317311487456523,0.16666666666666666
40,0.1,baseline,0.22,True,0.55,1.0,42,0.09523809523809523,False,False,0.10712,True,,baseline,,,,,
40,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.3276142122764667,27.055267959875795,0.5317311487456523,0.16666666666666666
41,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
41,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,3.041583253202916,12.875478383044605,0.5265338115661834,0.23529411764705882
41,0.1,baseline,0.22,True,0.55,0.9621848739495799,458,0.16593886462882096,True,True,0.10781,True,,baseline,,,,,
41,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,3.041583253202916,12.875478383044605,0.5265338115661834,0.23529411764705882
42,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
42,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.0006910512845180243,2.9344008934124752,0.5041748246331336,0.04938271604938271
42,0.1,baseline,0.22,True,0.55,0.9917695473251029,241,0.05394190871369295,False,False,0.112425,True,,baseline,,,,,
42,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.0006910512845180243,2.9344008934124752,0.5041748246331336,0.04938271604938271
43,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
43,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.519552174669002,0.06896551724137931
43,0.1,baseline,0.22,True,0.55,0.9827586206896551,57,0.07017543859649122,False,False,0.111724,True,,baseline,,,,,
43,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.519552174669002,0.06896551724137931
44,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
44,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,4.393188107296179,15.261368843876676,0.4851117533064421,0.26310947562097514
44,0.1,baseline,0.22,True,0.55,0.9595216191352346,1043,0.21188878235858102,True,True,0.112979,True,,baseline,,,,,
44,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,4.393188107296179,15.261368843876676,0.4851117533064421,0.26310947562097514
45,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
45,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,3.702722969818706,19.297197555647188,0.49242287569836546,0.24757281553398058
