replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
3,primary,hosp-86,0.1,15,bbse:bbse-misspecified,True,0.79,0.6667,10,0.0,False,,f,Midwest,0.933333,0.933333
3,primary,hosp-90,0.05,14,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
3,primary,hosp-90,0.1,14,bbse:bbse-misspecified,True,0.79,0.7857,11,0.0909,False,<100,f,Midwest,1.0,1.0
3,primary,hosp-125,0.05,229,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,South,0.965066,0.965066
3,primary,hosp-125,0.1,229,bbse:bbse-misspecified,True,0.79,0.9607,220,0.0273,False,<100,f,South,0.965066,0.965066
3,primary,hosp-154,0.05,1091,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,West,0.980752,0.980752
3,primary,hosp-154,0.1,1091,bbse:failsafe,True,0.79,0.8304,906,0.0508,False,250 - 499,f,West,0.980752,0.980752
3,primary,hosp-171,0.05,1364,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,0.951613,0.951613
3,primary,hosp-171,0.1,1364,bbse:failsafe,True,0.79,0.926,1263,0.0325,False,100 - 249,f,West,0.951613,0.951613
3,primary,hosp-181,0.05,854,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,South,0.989461,0.989461
3,primary,hosp-181,0.1,854,bbse:failsafe,True,0.79,0.8396,717,0.0488,False,,f,South,0.989461,0.989461
3,primary,hosp-182,0.05,331,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,0.888218,0.888218
3,primary,hosp-182,0.1,331,bbse:bbse-misspecified,True,0.79,0.8852,293,0.0273,False,100 - 249,f,South,0.888218,0.888218
3,primary,hosp-188,0.05,3255,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,South,0.996621,0.996621
3,primary,hosp-188,0.1,3255,bbse:failsafe,True,0.79,0.8568,2789,0.0491,False,>= 500,t,South,0.996621,0.996621
3,primary,hosp-202,0.05,853,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Northeast,0.991794,0.991794
3,primary,hosp-202,0.1,853,bbse:failsafe,True,0.79,0.8792,750,0.0533,False,100 - 249,f,Northeast,0.991794,0.991794
3,primary,hosp-204,0.05,153,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Northeast,0.993464,0.993464
3,primary,hosp-204,0.1,153,bbse:bbse-misspecified,True,0.79,0.8366,128,0.0391,False,100 - 249,f,Northeast,0.993464,0.993464
3,primary,hosp-215,0.05,624,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,t,South,0.996795,0.996795
3,primary,hosp-215,0.1,624,bbse:failsafe,True,0.79,0.8333,520,0.0308,False,100 - 249,t,South,0.996795,0.996795
3,primary,hosp-248,0.05,1603,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,0.999376,0.999376
3,primary,hosp-248,0.1,1603,bbse:failsafe,True,0.79,0.9145,1466,0.0437,False,100 - 249,f,Midwest,0.999376,0.999376
3,primary,hosp-263,0.05,52,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,1.0,1.0
3,primary,hosp-263,0.1,52,bbse:bbse-misspecified,True,0.79,0.9423,49,0.0204,False,,f,,1.0,1.0
3,primary,hosp-266,0.05,220,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,Midwest,0.986364,0.986364
3,primary,hosp-266,0.1,220,bbse:failsafe,True,0.79,0.8818,194,0.0515,False,,f,Midwest,0.986364,0.986364
3,primary,hosp-300,0.05,3263,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Midwest,0.992951,0.992951
3,primary,hosp-300,0.1,3263,bbse:failsafe,True,0.79,0.9087,2965,0.0513,False,>= 500,t,Midwest,0.992951,0.992951
3,primary,hosp-301,0.05,951,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,South,0.993691,0.993691
3,primary,hosp-301,0.1,951,bbse:failsafe,True,0.79,0.9295,884,0.0373,False,100 - 249,f,South,0.993691,0.993691
3,primary,hosp-303,0.05,143,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,,0.979021,0.979021
3,primary,hosp-303,0.1,143,bbse:failsafe,True,0.79,0.8531,122,0.0574,False,,f,,0.979021,0.979021
3,primary,hosp-357,0.05,706,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,Midwest,0.973088,0.973088
3,primary,hosp-357,0.1,706,bbse:bbse-misspecified,True,0.79,0.9504,671,0.0387,False,,f,Midwest,0.973088,0.973088
3,primary,hosp-387,0.05,522,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,West,1.0,1.0
3,primary,hosp-387,0.1,522,bbse:failsafe,True,0.79,0.9215,481,0.052,False,>= 500,f,West,1.0,1.0
3,primary,hosp-396,0.05,556,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,0.998201,0.998201
3,primary,hosp-396,0.1,556,bbse:failsafe,True,0.79,0.8831,491,0.0468,False,100 - 249,f,West,0.998201,0.998201
3,primary,hosp-402,0.05,389,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,1.0,1.0
3,primary,hosp-402,0.1,389,bbse:bbse-misspecified,True,0.79,0.9075,353,0.0397,False,<100,f,West,1.0,1.0
3,primary,hosp-404,0.05,391,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,0.974425,0.974425
3,primary,hosp-404,0.1,391,bbse:bbse-misspecified,True,0.79,0.9233,361,0.0554,False,<100,f,West,0.974425,0.974425
3,primary,hosp-429,0.05,288,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,South,0.993056,0.993056
3,primary,hosp-429,0.1,288,bbse:failsafe,True,0.79,0.809,233,0.0515,False,,f,South,0.993056,0.993056
4,primary,hosp-67,0.05,328,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,Midwest,0.97561,0.97561
4,primary,hosp-67,0.1,328,bbse:failsafe,True,0.77,0.9024,296,0.0405,False,,f,Midwest,0.97561,0.97561
4,primary,hosp-69,0.05,490,baseline:failsafe|bbse:failsafe,False,,,0,,False,<100,f,Midwest,0.934694,0.934694
4,primary,hosp-69,0.1,490,bbse:failsafe,True,0.77,0.9286,455,0.0132,False,<100,f,Midwest,0.934694,0.934694
4,primary,hosp-122,0.05,2701,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,South,0.987042,0.987042
4,primary,hosp-122,0.1,2701,bbse:failsafe,True,0.77,0.916,2474,0.0724,False,>= 500,f,South,0.987042,0.987042
4,primary,hosp-143,0.05,680,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,,0.991176,0.991176
4,primary,hosp-143,0.1,680,bbse:failsafe,True,0.77,0.9441,642,0.0452,False,250 - 499,f,,0.991176,0.991176
4,primary,hosp-157,0.05,1164,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,West,0.993127,0.993127
4,primary,hosp-157,0.1,1164,bbse:failsafe,True,0.77,0.8058,938,0.0661,False,250 - 499,f,West,0.993127,0.993127
4,primary,hosp-175,0.05,425,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,0.910588,0.910588
4,primary,hosp-175,0.1,425,bbse:failsafe,True,0.77,0.9412,400,0.0325,False,100 - 249,f,West,0.910588,0.910588
4,primary,hosp-194,0.05,325,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,South,0.975385,0.975385
4,primary,hosp-194,0.1,325,bbse:failsafe,True,0.77,0.9354,304,0.0493,False,100 - 249,f,South,0.975385,0.975385
