s_u,draw,n_sites,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,per_site_exceed_frac,deploy_mode,decline_reason
0.5,67,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,67,208,0.1,True,0.5700000000000001,1.0,124,0.11290322580645161,False,True,0.0544,False,0.02,baseline,
0.5,68,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,68,208,0.1,True,0.55,0.9817629179331308,323,0.07739938080495357,False,False,0.055949,False,0.075,baseline,
0.5,69,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,69,208,0.1,True,0.55,0.9774078478002378,822,0.0705596107055961,False,False,0.058325,False,0.07,baseline,
0.5,70,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,70,208,0.1,True,0.55,0.9860515021459227,919,0.04570184983677911,False,False,0.055362,False,0.04,baseline,
0.5,71,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,71,208,0.1,True,0.55,1.0,194,0.05154639175257732,False,False,0.056539,False,0.055,baseline,
0.5,72,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,72,208,0.1,True,0.55,0.9862068965517241,143,0.03496503496503497,False,False,0.05501,False,0.025,baseline,
0.5,73,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,73,208,0.1,True,0.85,0.8710433763188745,743,0.017496635262449527,False,False,0.022673,False,0.0,bbse,
0.5,74,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,74,208,0.1,True,0.55,0.9967105263157895,303,0.052805280528052806,False,False,0.057293,False,0.055,baseline,
0.5,75,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,75,208,0.1,True,0.55,0.9824561403508771,224,0.03571428571428571,False,False,0.057985,False,0.04,baseline,
0.5,76,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,76,208,0.1,True,0.55,0.9813953488372092,211,0.052132701421800945,False,False,0.058139,False,0.065,baseline,
0.5,77,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,77,208,0.1,True,0.55,0.987220447284345,618,0.09870550161812297,False,False,0.055426,False,0.035,baseline,
0.5,78,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,78,208,0.1,True,0.55,0.9813953488372092,422,0.08293838862559241,False,False,0.060738,False,0.065,baseline,
0.5,79,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,79,208,0.1,True,0.55,0.9868421052631579,75,0.05333333333333334,False,False,0.057156,False,0.07,baseline,
0.5,80,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,80,208,0.1,True,0.73,0.9318497913769124,670,0.03283582089552239,False,False,0.03538,False,0.01,bbse,
0.5,81,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,81,208,0.1,True,0.55,0.9891067538126361,454,0.048458149779735685,False,False,0.055596,False,0.03,baseline,
0.5,82,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,82,208,0.1,True,0.55,0.9877149877149877,402,0.06218905472636816,False,False,0.055011,False,0.035,baseline,
0.5,83,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,83,208,0.1,True,0.55,0.9910514541387024,443,0.040632054176072234,False,False,0.056438,False,0.05,baseline,
0.5,84,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,84,208,0.1,True,0.55,0.9915433403805497,469,0.03837953091684435,False,False,0.059484,False,0.07,baseline,
0.5,85,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,85,208,0.1,True,0.61,0.9757236227824463,2090,0.02631578947368421,False,False,0.054348,False,0.055,bbse,
0.5,86,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,86,208,0.1,True,0.55,0.9863013698630136,72,0.06944444444444445,False,False,0.056628,False,0.07,baseline,
0.5,87,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,87,208,0.1,True,0.55,0.9772727272727273,43,0.046511627906976744,False,False,0.055721,False,0.04,baseline,
0.5,88,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,88,208,0.1,True,0.55,0.9824561403508771,56,0.10714285714285714,False,True,0.057033,False,0.05,baseline,
0.5,89,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,89,208,0.1,True,0.79,0.9298245614035088,1219,0.02132895816242822,False,False,0.032109,False,0.005,bbse,
0.5,90,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,90,208,0.1,True,0.55,0.9956331877729258,228,0.02631578947368421,False,False,0.056759,False,0.045,baseline,
0.5,91,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,91,208,0.1,True,0.55,0.9801801801801802,544,0.05330882352941176,False,False,0.057914,False,0.055,baseline,
0.5,92,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,92,208,0.1,True,0.55,0.9868421052631579,75,0.02666666666666667,False,False,0.057197,False,0.05,baseline,
0.5,93,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,93,208,0.1,True,0.55,0.9825834542815675,2031,0.05809945839487937,False,False,0.059099,False,0.08,baseline,
0.5,94,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,94,208,0.1,True,0.55,0.9841549295774648,559,0.04830053667262969,False,False,0.055052,False,0.03,baseline,
0.5,95,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,95,208,0.1,True,0.55,0.9950396825396826,1003,0.02193419740777667,False,False,0.058799,False,0.085,baseline,
0.5,96,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,96,208,0.1,True,0.55,1.0,98,0.01020408163265306,False,False,0.059525,False,0.065,baseline,
0.5,97,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,97,208,0.1,True,0.5700000000000001,0.9779706275033377,1465,0.04436860068259386,False,False,0.054068,False,0.05,baseline,
0.5,98,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
