s_u,draw,alpha,unit,certified,tau,coverage,rm_fresh,rm_exceed
0.5,89,0.05,record,True,0.75,0.9162,0.036265,False
0.5,89,0.1,site,True,0.57,0.9796,0.055818,False
0.5,89,0.1,record,True,0.55,0.9852,0.058148,False
0.5,90,0.05,site,False,,,,
0.5,90,0.05,record,True,0.77,0.9034,0.033748,False
0.5,90,0.1,site,True,0.55,0.9852,0.057739,False
0.5,90,0.1,record,True,0.55,0.9852,0.057739,False
0.5,91,0.05,site,False,,,,
0.5,91,0.05,record,True,0.83,0.8753,0.025969,False
0.5,91,0.1,site,True,0.55,0.9859,0.055719,False
0.5,91,0.1,record,True,0.55,0.9859,0.055719,False
0.5,92,0.05,site,False,,,,
0.5,92,0.05,record,True,0.71,0.9347,0.039286,False
0.5,92,0.1,site,True,0.55,0.9858,0.056467,False
0.5,92,0.1,record,True,0.55,0.9858,0.056467,False
0.5,93,0.05,site,False,,,,
0.5,93,0.05,record,True,0.73,0.9208,0.036662,False
0.5,93,0.1,site,True,0.55,0.9848,0.057909,False
0.5,93,0.1,record,True,0.55,0.9848,0.057909,False
0.5,94,0.05,site,False,,,,
0.5,94,0.05,record,True,0.79,0.8977,0.030772,False
0.5,94,0.1,site,True,0.59,0.9733,0.051628,False
0.5,94,0.1,record,True,0.55,0.9852,0.056375,False
0.5,95,0.05,site,False,,,,
0.5,95,0.05,record,True,0.71,0.9339,0.040679,False
0.5,95,0.1,site,True,0.55,0.986,0.057905,False
0.5,95,0.1,record,True,0.55,0.986,0.057905,False
0.5,96,0.05,site,False,,,,
0.5,96,0.05,record,True,0.65,0.9533,0.04546,False
0.5,96,0.1,site,True,0.55,0.9852,0.057254,False
0.5,96,0.1,record,True,0.55,0.9852,0.057254,False
0.5,97,0.05,site,False,,,,
0.5,97,0.05,record,True,0.75,0.9155,0.03359,False
0.5,97,0.1,site,True,0.55,0.9857,0.054914,False
0.5,97,0.1,record,True,0.55,0.9857,0.054914,False
0.5,98,0.05,site,False,,,,
0.5,98,0.05,record,True,0.71,0.9318,0.039193,False
0.5,98,0.1,site,True,0.55,0.9854,0.057393,False
0.5,98,0.1,record,True,0.55,0.9854,0.057393,False
0.5,99,0.05,site,False,,,,
0.5,99,0.05,record,True,0.65,0.9525,0.044874,False
0.5,99,0.1,site,True,0.55,0.9849,0.055753,False
0.5,99,0.1,record,True,0.55,0.9849,0.055753,False
0.5,100,0.05,site,False,,,,
0.5,100,0.05,record,True,0.71,0.9308,0.040284,False
0.5,100,0.1,site,True,0.55,0.9851,0.058718,False
0.5,100,0.1,record,True,0.55,0.9851,0.058718,False
0.5,101,0.05,site,False,,,,
0.5,101,0.05,record,True,0.61,0.9653,0.049529,False
0.5,101,0.1,site,True,0.55,0.9846,0.056272,False
0.5,101,0.1,record,True,0.55,0.9846,0.056272,False
0.5,102,0.05,site,False,,,,
0.5,102,0.05,record,True,0.63,0.9616,0.045615,False
0.5,102,0.1,site,True,0.55,0.9856,0.054688,False
0.5,102,0.1,record,True,0.55,0.9856,0.054688,False
0.5,103,0.05,site,False,,,,
0.5,103,0.05,record,True,0.71,0.9297,0.040586,False
0.5,103,0.1,site,True,0.55,0.9848,0.057696,False
0.5,103,0.1,record,True,0.55,0.9848,0.057696,False
0.5,104,0.05,site,False,,,,
0.5,104,0.05,record,True,0.77,0.904,0.032957,False
0.5,104,0.1,site,True,0.55,0.9848,0.057841,False
0.5,104,0.1,record,True,0.55,0.9848,0.057841,False
0.5,105,0.05,site,False,,,,
0.5,105,0.05,record,True,0.75,0.9097,0.035688,False
0.5,105,0.1,site,True,0.57,0.9779,0.05526,False
0.5,105,0.1,record,True,0.55,0.9843,0.057838,False
0.5,106,0.05,site,False,,,,
0.5,106,0.05,record,True,0.71,0.9317,0.040918,False
0.5,106,0.1,site,True,0.55,0.9854,0.058528,False
0.5,106,0.1,record,True,0.55,0.9854,0.058528,False
0.5,107,0.05,site,False,,,,
0.5,107,0.05,record,True,0.67,0.9475,0.041801,False
0.5,107,0.1,site,True,0.57,0.9798,0.052981,False
0.5,107,0.1,record,True,0.55,0.9856,0.055207,False
0.5,108,0.05,site,False,,,,
0.5,108,0.05,record,True,0.73,0.9238,0.037462,False
0.5,108,0.1,site,True,0.55,0.9852,0.057395,False
0.5,108,0.1,record,True,0.55,0.9852,0.057395,False
0.5,109,0.05,site,False,,,,
0.5,109,0.05,record,True,0.81,0.8846,0.029623,False
0.5,109,0.1,site,True,0.57,0.9787,0.055674,False
0.5,109,0.1,record,True,0.55,0.9848,0.057974,False
0.5,110,0.05,site,False,,,,
0.5,110,0.05,record,True,0.71,0.9296,0.039071,False
0.5,110,0.1,site,True,0.55,0.9849,0.056603,False
0.5,110,0.1,record,True,0.55,0.9849,0.056603,False
0.5,111,0.05,site,False,,,,
0.5,111,0.05,record,True,0.71,0.9249,0.038811,False
0.5,111,0.1,site,True,0.55,0.9837,0.058094,False
0.5,111,0.1,record,True,0.55,0.9837,0.058094,False
0.5,112,0.05,site,False,,,,
0.5,112,0.05,record,True,0.67,0.9474,0.043629,False
0.5,112,0.1,site,True,0.55,0.9855,0.057048,False
0.5,112,0.1,record,True,0.55,0.9855,0.057048,False
0.5,113,0.05,site,False,,,,
0.5,113,0.05,record,True,0.67,0.943,0.041221,False
0.5,113,0.1,site,True,0.55,0.9847,0.055788,False
